"","rowname","value"
"122","ErrorType","error"
"123","ErrorMessage","length(tolerance) == 1L is not TRUE"
"124","ErrorType","error"
"125","ErrorMessage","length(tolerance) == 1L is not TRUE"
"126","ErrorType","error"
"127","ErrorMessage","length(tolerance) == 1L is not TRUE"
"128","ErrorType","error"
"129","ErrorMessage","length(tolerance) == 1L is not TRUE"
"130","ErrorType","error"
"131","ErrorMessage","<text>:1:101: unexpected '='
1: all.equal.numeric(target = x,current = x,tolerance = x,scale = x,countEQ = x,formatFUN = x,format() =
                                                                                                        ^"
"132","ErrorType","error"
"133","ErrorMessage","<text>:1:101: unexpected '='
1: all.equal.numeric(target = x,current = x,tolerance = x,scale = x,countEQ = x,formatFUN = x,format() =
                                                                                                        ^"
"134","ErrorType","error"
"135","ErrorMessage","<text>:1:103: unexpected '='
1: all.equal.numeric(target = ""x"",current = x,tolerance = x,scale = x,countEQ = x,formatFUN = x,format() =
                                                                                                          ^"
"136","ErrorType","error"
"137","ErrorMessage","<text>:1:102: unexpected '='
1: all.equal.numeric(target = df,current = x,tolerance = x,scale = x,countEQ = x,formatFUN = x,format() =
                                                                                                         ^"
"138","ErrorType","error"
"139","ErrorMessage","argument ""target"" is missing, with no default"
"140","ErrorType","error"
"149","ErrorMessage","argument ""target"" is missing, with no default"
"150","ErrorType","error"
"151","ErrorMessage","argument ""current"" is missing, with no default"
"152","ErrorType","error"
"154","ErrorMessage","'check.attributes' must be logical"
"155","ErrorType","error"
"156","ErrorMessage","'check.attributes' must be logical"
"157","ErrorType","error"
"158","ErrorMessage","'check.attributes' must be logical"
"159","ErrorType","error"
"160","ErrorMessage","argument ""expr"" is missing, with no default"
"161","ErrorType","error"
"162","ErrorMessage","argument ""expr"" is missing, with no default"
"163","ErrorType","error"
"164","ErrorMessage","object 'true' not found"
"165","ErrorType","error"
"166","ErrorMessage","coercing argument of type 'double' to logical"
"167","ErrorType","warning"
"168","ErrorMessage","coercing argument of type 'double' to logical"
"169","ErrorType","warning"
"170","ErrorMessage","coercing argument of type 'character' to logical"
"171","ErrorType","warning"
"173","ErrorMessage","argument ""x"" is missing, with no default"
"174","ErrorType","error"
"179","ErrorMessage","argument ""x"" is missing, with no default"
"180","ErrorType","error"
"185","ErrorMessage","argument ""x"" is missing, with no default"
"186","ErrorType","error"
"187","ErrorMessage","MARGIN = 1 is invalid for dim = "
"188","ErrorType","error"
"189","ErrorMessage","MARGIN = 1 is invalid for dim = "
"190","ErrorType","error"
"191","ErrorMessage","MARGIN = 1 is invalid for dim = "
"192","ErrorType","error"
"194","ErrorMessage","argument 1 is empty"
"195","ErrorType","error"
"196","ErrorMessage","argument 2 is empty"
"197","ErrorType","error"
"199","ErrorMessage","argument 2 is empty"
"200","ErrorType","error"
"201","ErrorMessage","argument 2 is empty"
"202","ErrorType","error"
"203","ErrorMessage","argument ""a"" is missing, with no default"
"204","ErrorType","error"
"205","ErrorMessage","invalid first argument, must be an array"
"206","ErrorType","error"
"207","ErrorMessage","invalid first argument, must be an array"
"208","ErrorType","error"
"209","ErrorMessage","invalid first argument, must be an array"
"210","ErrorType","error"
"211","ErrorMessage","invalid first argument, must be an array"
"212","ErrorType","error"
"213","ErrorMessage","argument ""a"" is missing, with no default"
"214","ErrorType","error"
"215","ErrorMessage","invalid first argument, must be an array"
"216","ErrorType","error"
"217","ErrorMessage","invalid first argument, must be an array"
"218","ErrorType","error"
"219","ErrorMessage","invalid first argument, must be an array"
"220","ErrorType","error"
"221","ErrorMessage","invalid first argument, must be an array"
"222","ErrorType","error"
"223","ErrorMessage","invalid first argument, must be an array"
"224","ErrorType","error"
"225","ErrorMessage","argument ""expr"" is missing, with no default"
"226","ErrorType","error"
"254","ErrorMessage","argument 1 is empty"
"255","ErrorType","error"
"256","ErrorMessage","'length(x) = 6 > 1' in coercion to 'logical(1)'"
"257","ErrorType","warning"
"260","ErrorMessage","argument ""x"" is missing, with no default"
"261","ErrorType","error"
"266","ErrorMessage","argument ""x"" is missing, with no default"
"267","ErrorType","error"
"272","ErrorMessage","argument ""x"" is missing, with no default"
"273","ErrorType","error"
"274","ErrorMessage","MARGIN = 1 is invalid for dim = "
"275","ErrorType","error"
"276","ErrorMessage","MARGIN = 1 is invalid for dim = "
"277","ErrorType","error"
"278","ErrorMessage","MARGIN = 1 is invalid for dim = "
"279","ErrorType","error"
"281","ErrorMessage","argument 1 is empty"
"282","ErrorType","error"
"287","ErrorMessage","argument ""a"" is missing, with no default"
"288","ErrorType","error"
"289","ErrorMessage","invalid first argument, must be an array"
"290","ErrorType","error"
"291","ErrorMessage","invalid first argument, must be an array"
"292","ErrorType","error"
"293","ErrorMessage","invalid first argument, must be an array"
"294","ErrorType","error"
"295","ErrorMessage","invalid first argument, must be an array"
"296","ErrorType","error"
"297","ErrorMessage","invalid first argument, must be an array"
"298","ErrorType","error"
"299","ErrorMessage","invalid first argument, must be an array"
"300","ErrorType","error"
"301","ErrorMessage","invalid first argument, must be an array"
"302","ErrorType","error"
"303","ErrorMessage","invalid first argument, must be an array"
"304","ErrorType","error"
"305","ErrorMessage","invalid first argument, must be an array"
"306","ErrorType","error"
"307","ErrorMessage","invalid first argument, must be an array"
"308","ErrorType","error"
"309","ErrorMessage","invalid first argument, must be an array"
"310","ErrorType","error"
"311","ErrorMessage","invalid first argument, must be an array"
"312","ErrorType","error"
"313","ErrorMessage","invalid first argument, must be an array"
"314","ErrorType","error"
"315","ErrorMessage","argument ""x"" is missing, with no default"
"316","ErrorType","error"
"319","ErrorMessage","argument ""x"" is missing, with no default"
"320","ErrorType","error"
"321","ErrorMessage","MARGIN = 1 is invalid for dim = "
"322","ErrorType","error"
"323","ErrorMessage","argument 'incomparables != FALSE' is not used (yet)"
"324","ErrorType","error"
"325","ErrorMessage","argument 'incomparables != FALSE' is not used (yet)"
"326","ErrorType","error"
"327","ErrorMessage","argument 'incomparables != FALSE' is not used (yet)"
"328","ErrorType","error"
"329","ErrorMessage","argument 'incomparables != FALSE' is not used (yet)"
"330","ErrorType","error"
"331","ErrorMessage","argument 'incomparables != FALSE' is not used (yet)"
"332","ErrorType","error"
"333","ErrorMessage","argument ""x"" is missing, with no default"
"334","ErrorType","error"
"336","ErrorMessage","argument 'incomparables != FALSE' is not used (yet)"
"337","ErrorType","error"
"338","ErrorMessage","argument 'incomparables != FALSE' is not used (yet)"
"339","ErrorType","error"
"340","ErrorMessage","argument 'incomparables != FALSE' is not used (yet)"
"341","ErrorType","error"
"342","ErrorMessage","argument 'incomparables != FALSE' is not used (yet)"
"343","ErrorType","error"
"344","ErrorMessage","argument ""x"" is missing, with no default"
"345","ErrorType","error"
"351","ErrorMessage","argument ""x"" is missing, with no default"
"352","ErrorType","error"
"353","ErrorMessage","MARGIN = 1 is invalid for dim = "
"354","ErrorType","error"
"355","ErrorMessage","argument 'incomparables != FALSE' is not used (yet)"
"356","ErrorType","error"
"357","ErrorMessage","argument 'incomparables != FALSE' is not used (yet)"
"358","ErrorType","error"
"359","ErrorMessage","argument 'incomparables != FALSE' is not used (yet)"
"360","ErrorType","error"
"361","ErrorMessage","argument 'incomparables != FALSE' is not used (yet)"
"362","ErrorType","error"
"363","ErrorMessage","argument 'incomparables != FALSE' is not used (yet)"
"364","ErrorType","error"
"365","ErrorMessage","argument 1 is empty"
"366","ErrorType","error"
"367","ErrorMessage","argument 2 is empty"
"368","ErrorType","error"
"370","ErrorMessage","argument 2 is empty"
"371","ErrorType","error"
"372","ErrorMessage","argument 2 is empty"
"373","ErrorType","error"
"374","ErrorMessage","argument ""a"" is missing, with no default"
"375","ErrorType","error"
"376","ErrorMessage","invalid first argument, must be an array"
"377","ErrorType","error"
"378","ErrorMessage","invalid first argument, must be an array"
"379","ErrorType","error"
"380","ErrorMessage","invalid first argument, must be an array"
"381","ErrorType","error"
"382","ErrorMessage","invalid first argument, must be an array"
"383","ErrorType","error"
"384","ErrorMessage","argument ""a"" is missing, with no default"
"385","ErrorType","error"
"386","ErrorMessage","invalid first argument, must be an array"
"387","ErrorType","error"
"388","ErrorMessage","invalid first argument, must be an array"
"389","ErrorType","error"
"390","ErrorMessage","invalid first argument, must be an array"
"391","ErrorType","error"
"392","ErrorMessage","invalid first argument, must be an array"
"393","ErrorType","error"
"394","ErrorMessage","invalid first argument, must be an array"
"395","ErrorType","error"
"396","ErrorMessage","argument ""x"" is missing, with no default"
"397","ErrorType","error"
"403","ErrorMessage","argument ""x"" is missing, with no default"
"404","ErrorType","error"
"405","ErrorMessage","MARGIN = 1 is invalid for dim = "
"406","ErrorType","error"
"407","ErrorMessage","argument 'incomparables != FALSE' is not used (yet)"
"408","ErrorType","error"
"409","ErrorMessage","argument 'incomparables != FALSE' is not used (yet)"
"410","ErrorType","error"
"411","ErrorMessage","argument 'incomparables != FALSE' is not used (yet)"
"412","ErrorType","error"
"413","ErrorMessage","argument 'incomparables != FALSE' is not used (yet)"
"414","ErrorType","error"
"415","ErrorMessage","argument 'incomparables != FALSE' is not used (yet)"
"416","ErrorType","error"
"417","ErrorMessage","argument 1 is empty"
"418","ErrorType","error"
"419","ErrorMessage","argument 2 is empty"
"420","ErrorType","error"
"422","ErrorMessage","argument 2 is empty"
"423","ErrorType","error"
"424","ErrorMessage","argument 2 is empty"
"425","ErrorType","error"
"426","ErrorMessage","argument ""a"" is missing, with no default"
"427","ErrorType","error"
"428","ErrorMessage","invalid first argument, must be an array"
"429","ErrorType","error"
"430","ErrorMessage","invalid first argument, must be an array"
"431","ErrorType","error"
"432","ErrorMessage","invalid first argument, must be an array"
"433","ErrorType","error"
"434","ErrorMessage","invalid first argument, must be an array"
"435","ErrorType","error"
"436","ErrorMessage","argument ""a"" is missing, with no default"
"437","ErrorType","error"
"438","ErrorMessage","invalid first argument, must be an array"
"439","ErrorType","error"
"440","ErrorMessage","invalid first argument, must be an array"
"441","ErrorType","error"
"442","ErrorMessage","invalid first argument, must be an array"
"443","ErrorType","error"
"444","ErrorMessage","invalid first argument, must be an array"
"445","ErrorType","error"
"446","ErrorMessage","invalid first argument, must be an array"
"447","ErrorType","error"
"448","ErrorMessage","argument ""x"" is missing, with no default"
"449","ErrorType","error"
"455","ErrorMessage","argument ""x"" is missing, with no default"
"456","ErrorType","error"
"457","ErrorMessage","MARGIN = 1 is invalid for dim = "
"458","ErrorType","error"
"459","ErrorMessage","argument 'incomparables != FALSE' is not used (yet)"
"460","ErrorType","error"
"461","ErrorMessage","argument 'incomparables != FALSE' is not used (yet)"
"462","ErrorType","error"
"463","ErrorMessage","argument 'incomparables != FALSE' is not used (yet)"
"464","ErrorType","error"
"465","ErrorMessage","argument 'incomparables != FALSE' is not used (yet)"
"466","ErrorType","error"
"467","ErrorMessage","argument 'incomparables != FALSE' is not used (yet)"
"468","ErrorType","error"
"469","ErrorMessage","argument 1 is empty"
"470","ErrorType","error"
"471","ErrorMessage","argument 2 is empty"
"472","ErrorType","error"
"474","ErrorMessage","argument 2 is empty"
"475","ErrorType","error"
"476","ErrorMessage","argument 2 is empty"
"477","ErrorType","error"
"478","ErrorMessage","argument ""a"" is missing, with no default"
"479","ErrorType","error"
"480","ErrorMessage","invalid first argument, must be an array"
"481","ErrorType","error"
"482","ErrorMessage","invalid first argument, must be an array"
"483","ErrorType","error"
"484","ErrorMessage","invalid first argument, must be an array"
"485","ErrorType","error"
"486","ErrorMessage","invalid first argument, must be an array"
"487","ErrorType","error"
"488","ErrorMessage","argument ""a"" is missing, with no default"
"489","ErrorType","error"
"490","ErrorMessage","invalid first argument, must be an array"
"491","ErrorType","error"
"492","ErrorMessage","invalid first argument, must be an array"
"493","ErrorType","error"
"494","ErrorMessage","invalid first argument, must be an array"
"495","ErrorType","error"
"496","ErrorMessage","invalid first argument, must be an array"
"497","ErrorType","error"
"498","ErrorMessage","invalid first argument, must be an array"
"499","ErrorType","error"
"500","ErrorMessage","argument ""x"" is missing, with no default"
"501","ErrorType","error"
"507","ErrorMessage","argument ""x"" is missing, with no default"
"508","ErrorType","error"
"509","ErrorMessage","MARGIN = 1 is invalid for dim = "
"510","ErrorType","error"
"511","ErrorMessage","argument 'incomparables != FALSE' is not used (yet)"
"512","ErrorType","error"
"513","ErrorMessage","argument 'incomparables != FALSE' is not used (yet)"
"514","ErrorType","error"
"515","ErrorMessage","argument 'incomparables != FALSE' is not used (yet)"
"516","ErrorType","error"
"517","ErrorMessage","argument 'incomparables != FALSE' is not used (yet)"
"518","ErrorType","error"
"519","ErrorMessage","argument 'incomparables != FALSE' is not used (yet)"
"520","ErrorType","error"
"521","ErrorMessage","argument 1 is empty"
"522","ErrorType","error"
"523","ErrorMessage","argument 2 is empty"
"524","ErrorType","error"
"526","ErrorMessage","argument 2 is empty"
"527","ErrorType","error"
"528","ErrorMessage","argument 2 is empty"
"529","ErrorType","error"
"530","ErrorMessage","argument ""a"" is missing, with no default"
"531","ErrorType","error"
"532","ErrorMessage","invalid first argument, must be an array"
"533","ErrorType","error"
"534","ErrorMessage","invalid first argument, must be an array"
"535","ErrorType","error"
"536","ErrorMessage","invalid first argument, must be an array"
"537","ErrorType","error"
"538","ErrorMessage","invalid first argument, must be an array"
"539","ErrorType","error"
"540","ErrorMessage","argument ""a"" is missing, with no default"
"541","ErrorType","error"
"542","ErrorMessage","invalid first argument, must be an array"
"543","ErrorType","error"
"544","ErrorMessage","invalid first argument, must be an array"
"545","ErrorType","error"
"546","ErrorMessage","invalid first argument, must be an array"
"547","ErrorType","error"
"548","ErrorMessage","invalid first argument, must be an array"
"549","ErrorType","error"
"550","ErrorMessage","invalid first argument, must be an array"
"551","ErrorType","error"
"552","ErrorMessage","argument ""x"" is missing, with no default"
"553","ErrorType","error"
"559","ErrorMessage","argument ""x"" is missing, with no default"
"560","ErrorType","error"
"561","ErrorMessage","MARGIN = 1 is invalid for dim = "
"562","ErrorType","error"
"563","ErrorMessage","argument 'incomparables != FALSE' is not used (yet)"
"564","ErrorType","error"
"565","ErrorMessage","argument 'incomparables != FALSE' is not used (yet)"
"566","ErrorType","error"
"567","ErrorMessage","argument 'incomparables != FALSE' is not used (yet)"
"568","ErrorType","error"
"569","ErrorMessage","argument 'incomparables != FALSE' is not used (yet)"
"570","ErrorType","error"
"571","ErrorMessage","argument 'incomparables != FALSE' is not used (yet)"
"572","ErrorType","error"
"573","ErrorMessage","argument 1 is empty"
"574","ErrorType","error"
"575","ErrorMessage","argument 2 is empty"
"576","ErrorType","error"
"578","ErrorMessage","argument 2 is empty"
"579","ErrorType","error"
"580","ErrorMessage","argument 2 is empty"
"581","ErrorType","error"
"582","ErrorMessage","argument ""x"" is missing, with no default"
"583","ErrorType","error"
"588","ErrorMessage","argument ""x"" is missing, with no default"
"589","ErrorType","error"
"590","ErrorMessage","wrong class"
"591","ErrorType","error"
"592","ErrorMessage","wrong class"
"593","ErrorType","error"
"594","ErrorMessage","wrong class"
"595","ErrorType","error"
"596","ErrorMessage","wrong class"
"597","ErrorType","error"
"598","ErrorMessage","argument ""x"" is missing, with no default"
"599","ErrorType","error"
"600","ErrorMessage","'origin' must be supplied"
"601","ErrorType","error"
"602","ErrorMessage","'origin' must be supplied"
"603","ErrorType","error"
"604","ErrorMessage","character string is not in a standard unambiguous format"
"605","ErrorType","error"
"612","ErrorMessage","'row.names' is not a character vector of length 6 -- omitting it. Will be an error!"
"613","ErrorType","warning"
"614","ErrorMessage","'row.names' is not a character vector of length 6 -- omitting it. Will be an error!"
"615","ErrorType","warning"
"616","ErrorMessage","'row.names' is not a character vector of length 6 -- omitting it. Will be an error!"
"617","ErrorType","warning"
"618","ErrorMessage","'row.names' is not a character vector of length 1 -- omitting it. Will be an error!"
"619","ErrorType","warning"
"620","ErrorMessage","'row.names' is not a character vector of length 2 -- omitting it. Will be an error!"
"621","ErrorType","warning"
"622","ErrorMessage","argument ""x"" is missing, with no default"
"623","ErrorType","error"
"624","ErrorMessage","missing value where TRUE/FALSE needed"
"625","ErrorType","error"
"626","ErrorMessage","missing value where TRUE/FALSE needed"
"627","ErrorType","error"
"628","ErrorMessage","missing value where TRUE/FALSE needed"
"629","ErrorType","error"
"630","ErrorMessage","invalid 'row.names', length 6 for a data frame with 10 rows"
"631","ErrorType","error"
"632","ErrorMessage","argument ""x"" is missing, with no default"
"633","ErrorType","error"
"661","ErrorMessage","argument ""x"" is missing, with no default"
"662","ErrorType","error"
"664","ErrorMessage","the condition has length > 1"
"665","ErrorType","error"
"666","ErrorMessage","the condition has length > 1"
"667","ErrorType","error"
"668","ErrorMessage","the condition has length > 1"
"669","ErrorType","error"
"670","ErrorMessage","new columns would leave holes after existing columns"
"671","ErrorType","error"
"672","ErrorMessage","argument 1 is empty"
"673","ErrorType","error"
"680","ErrorMessage","NAs introduced by coercion"
"681","ErrorType","warning"
"682","ErrorMessage","'list' object cannot be coerced to type 'complex'"
"683","ErrorType","error"
"684","ErrorMessage","argument ""x"" is missing, with no default"
"685","ErrorType","error"
"692","ErrorMessage","'row.names' is not a character vector of length 6 -- omitting it. Will be an error!"
"693","ErrorType","warning"
"694","ErrorMessage","'row.names' is not a character vector of length 6 -- omitting it. Will be an error!"
"695","ErrorType","warning"
"696","ErrorMessage","'row.names' is not a character vector of length 6 -- omitting it. Will be an error!"
"697","ErrorType","warning"
"698","ErrorMessage","'row.names' is not a character vector of length 1 -- omitting it. Will be an error!"
"699","ErrorType","warning"
"700","ErrorMessage","invalid 'row.names', length 6 for a data frame with 10 rows"
"701","ErrorType","error"
"711","ErrorMessage","argument ""x"" is missing, with no default"
"712","ErrorType","error"
"713","ErrorMessage","dims [product 1] do not match the length of object [6]"
"714","ErrorType","error"
"715","ErrorMessage","dims [product 1] do not match the length of object [6]"
"716","ErrorType","error"
"717","ErrorMessage","dims [product 1] do not match the length of object [6]"
"718","ErrorType","error"
"719","ErrorMessage","dims [product 1] do not match the length of object [6]"
"720","ErrorType","error"
"721","ErrorMessage","subscript out of bounds"
"722","ErrorType","error"
"743","ErrorMessage","argument ""x"" is missing, with no default"
"744","ErrorType","error"
"751","ErrorMessage","'row.names' is not a character vector of length 6 -- omitting it. Will be an error!"
"752","ErrorType","warning"
"753","ErrorMessage","'row.names' is not a character vector of length 6 -- omitting it. Will be an error!"
"754","ErrorType","warning"
"755","ErrorMessage","'row.names' is not a character vector of length 6 -- omitting it. Will be an error!"
"756","ErrorType","warning"
"757","ErrorMessage","'row.names' is not a character vector of length 1 -- omitting it. Will be an error!"
"758","ErrorType","warning"
"759","ErrorMessage","invalid 'row.names', length 6 for a data frame with 10 rows"
"760","ErrorType","error"
"761","ErrorMessage","argument ""x"" is missing, with no default"
"762","ErrorType","error"
"769","ErrorMessage","row names must be 'character' or 'integer', not 'double'"
"770","ErrorType","error"
"771","ErrorMessage","the condition has length > 1"
"772","ErrorType","error"
"773","ErrorMessage","the condition has length > 1"
"774","ErrorType","error"
"775","ErrorMessage","the condition has length > 1"
"776","ErrorType","error"
"777","ErrorMessage","the condition has length > 1"
"778","ErrorType","error"
"779","ErrorMessage","argument ""x"" is missing, with no default"
"780","ErrorType","error"
"787","ErrorMessage","'row.names' is not a character vector of length 6 -- omitting it. Will be an error!"
"788","ErrorType","warning"
"789","ErrorMessage","'row.names' is not a character vector of length 6 -- omitting it. Will be an error!"
"790","ErrorType","warning"
"791","ErrorMessage","'row.names' is not a character vector of length 6 -- omitting it. Will be an error!"
"792","ErrorType","warning"
"793","ErrorMessage","'row.names' is not a character vector of length 1 -- omitting it. Will be an error!"
"794","ErrorType","warning"
"795","ErrorMessage","invalid 'row.names', length 6 for a data frame with 10 rows"
"796","ErrorType","error"
"806","ErrorMessage","argument ""x"" is missing, with no default"
"807","ErrorType","error"
"808","ErrorMessage","dims [product 1] do not match the length of object [6]"
"809","ErrorType","error"
"810","ErrorMessage","dims [product 1] do not match the length of object [6]"
"811","ErrorType","error"
"812","ErrorMessage","dims [product 1] do not match the length of object [6]"
"813","ErrorType","error"
"814","ErrorMessage","dims [product 1] do not match the length of object [6]"
"815","ErrorType","error"
"816","ErrorMessage","subscript out of bounds"
"817","ErrorType","error"
"838","ErrorMessage","argument ""x"" is missing, with no default"
"839","ErrorType","error"
"846","ErrorMessage","'row.names' is not a character vector of length 6 -- omitting it. Will be an error!"
"847","ErrorType","warning"
"848","ErrorMessage","'row.names' is not a character vector of length 6 -- omitting it. Will be an error!"
"849","ErrorType","warning"
"850","ErrorMessage","'row.names' is not a character vector of length 6 -- omitting it. Will be an error!"
"851","ErrorType","warning"
"852","ErrorMessage","'row.names' is not a character vector of length 1 -- omitting it. Will be an error!"
"853","ErrorType","warning"
"854","ErrorMessage","invalid 'row.names', length 6 for a data frame with 10 rows"
"855","ErrorType","error"
"856","ErrorMessage","argument ""x"" is missing, with no default"
"857","ErrorType","error"
"864","ErrorMessage","row names must be 'character' or 'integer', not 'double'"
"865","ErrorType","error"
"866","ErrorMessage","the condition has length > 1"
"867","ErrorType","error"
"868","ErrorMessage","the condition has length > 1"
"869","ErrorType","error"
"870","ErrorMessage","the condition has length > 1"
"871","ErrorType","error"
"872","ErrorMessage","the condition has length > 1"
"873","ErrorType","error"
"874","ErrorMessage","argument ""x"" is missing, with no default"
"875","ErrorType","error"
"882","ErrorMessage","the condition has length > 1"
"883","ErrorType","error"
"884","ErrorMessage","the condition has length > 1"
"885","ErrorType","error"
"886","ErrorMessage","the condition has length > 1"
"887","ErrorType","error"
"888","ErrorMessage","the condition has length > 1"
"889","ErrorType","error"
"890","ErrorMessage","the condition has length > 1"
"891","ErrorType","error"
"892","ErrorMessage","argument ""x"" is missing, with no default"
"893","ErrorType","error"
"900","ErrorMessage","'row.names' is not a character vector of length 6 -- omitting it. Will be an error!"
"901","ErrorType","warning"
"902","ErrorMessage","'row.names' is not a character vector of length 6 -- omitting it. Will be an error!"
"903","ErrorType","warning"
"904","ErrorMessage","'row.names' is not a character vector of length 6 -- omitting it. Will be an error!"
"905","ErrorType","warning"
"906","ErrorMessage","'row.names' is not a character vector of length 1 -- omitting it. Will be an error!"
"907","ErrorType","warning"
"908","ErrorMessage","'row.names' is not a character vector of length 2 -- omitting it. Will be an error!"
"909","ErrorType","warning"
"910","ErrorMessage","argument ""x"" is missing, with no default"
"911","ErrorType","error"
"912","ErrorMessage","missing value where TRUE/FALSE needed"
"913","ErrorType","error"
"914","ErrorMessage","missing value where TRUE/FALSE needed"
"915","ErrorType","error"
"916","ErrorMessage","missing value where TRUE/FALSE needed"
"917","ErrorType","error"
"918","ErrorMessage","missing value where TRUE/FALSE needed"
"919","ErrorType","error"
"920","ErrorMessage","missing value where TRUE/FALSE needed"
"921","ErrorType","error"
"922","ErrorMessage","invalid 'row.names', length 6 for a data frame with 10 rows"
"923","ErrorType","error"
"924","ErrorMessage","argument ""x"" is missing, with no default"
"925","ErrorType","error"
"932","ErrorMessage","'row.names' is not a character vector of length 6 -- omitting it. Will be an error!"
"933","ErrorType","warning"
"934","ErrorMessage","'row.names' is not a character vector of length 6 -- omitting it. Will be an error!"
"935","ErrorType","warning"
"936","ErrorMessage","'row.names' is not a character vector of length 6 -- omitting it. Will be an error!"
"937","ErrorType","warning"
"938","ErrorMessage","'row.names' is not a character vector of length 6 -- omitting it. Will be an error!"
"939","ErrorType","warning"
"940","ErrorMessage","'row.names' is not a character vector of length 1 -- omitting it. Will be an error!"
"941","ErrorType","warning"
"942","ErrorMessage","'row.names' is not a character vector of length 2 -- omitting it. Will be an error!"
"943","ErrorType","warning"
"944","ErrorMessage","argument ""x"" is missing, with no default"
"945","ErrorType","error"
"952","ErrorMessage","'row.names' is not a character vector of length 6 -- omitting it. Will be an error!"
"953","ErrorType","warning"
"954","ErrorMessage","'row.names' is not a character vector of length 6 -- omitting it. Will be an error!"
"955","ErrorType","warning"
"956","ErrorMessage","'row.names' is not a character vector of length 6 -- omitting it. Will be an error!"
"957","ErrorType","warning"
"958","ErrorMessage","'row.names' is not a character vector of length 1 -- omitting it. Will be an error!"
"959","ErrorType","warning"
"960","ErrorMessage","invalid 'row.names', length 6 for a data frame with 10 rows"
"961","ErrorType","error"
"971","ErrorMessage","argument ""x"" is missing, with no default"
"972","ErrorType","error"
"973","ErrorMessage","missing value where TRUE/FALSE needed"
"974","ErrorType","error"
"975","ErrorMessage","missing value where TRUE/FALSE needed"
"976","ErrorType","error"
"977","ErrorMessage","missing value where TRUE/FALSE needed"
"978","ErrorType","error"
"979","ErrorMessage","missing value where TRUE/FALSE needed"
"980","ErrorType","error"
"981","ErrorMessage","missing value where TRUE/FALSE needed"
"982","ErrorType","error"
"983","ErrorMessage","invalid 'row.names', length 6 for a data frame with 10 rows"
"984","ErrorType","error"
"985","ErrorMessage","argument ""x"" is missing, with no default"
"986","ErrorType","error"
"993","ErrorMessage","'row.names' is not a character vector of length 6 -- omitting it. Will be an error!"
"994","ErrorType","warning"
"995","ErrorMessage","'row.names' is not a character vector of length 6 -- omitting it. Will be an error!"
"996","ErrorType","warning"
"997","ErrorMessage","'row.names' is not a character vector of length 6 -- omitting it. Will be an error!"
"998","ErrorType","warning"
"999","ErrorMessage","'row.names' is not a character vector of length 6 -- omitting it. Will be an error!"
"1000","ErrorType","warning"
"1001","ErrorMessage","'row.names' is not a character vector of length 1 -- omitting it. Will be an error!"
"1002","ErrorType","warning"
"1003","ErrorMessage","'row.names' is not a character vector of length 2 -- omitting it. Will be an error!"
"1004","ErrorType","warning"
