"","rowname","error"
"45","ErrorMessage560","row names supplied are of the wrong length"
"46","ErrorMessage572","first element used of 'length.out' argument"
"47","ErrorMessage578","argument is of length zero"
"48","ErrorMessage620","do not know how to convert 'x' to class “POSIXct”"
"49","ErrorMessage628","'dimnames' applied to non-array"
"50","ErrorMessage652","do not know how to convert 'df' to class “Date”"
"51","ErrorMessage655","invalid 'format' argument"
"52","ErrorMessage770","unknown timezone 'df'"
"53","ErrorMessage783","number of items to replace is not a multiple of replacement length"
"54","ErrorMessage946","do not know how to convert 'x' to class “Date”"
"55","ErrorMessage949","do not know how to convert '""x""' to class “Date”"
"56","ErrorMessage965","invalid 'x' argument"
"57","ErrorMessage969","unused argument (alist(x = ))"
"58","ErrorMessage970","unused argument (x = c(-1, 0, 1, -Inf, NaN, Inf))"
"59","ErrorMessage972","unused argument (x = ""x"")"
"60","ErrorMessage973","unused argument (x = list(1:10, 11:20))"
"61","ErrorMessage976","'list' object cannot be coerced to type 'double'"
"62","ErrorMessage986","supplied argument name 'x' does not match 'object'"
"63","ErrorMessage992","cannot xtfrm data frames"
"64","ErrorMessage994","list argument expected"
"65","ErrorMessage1000","NAs introduced by coercion to integer range"
"66","ErrorMessage1001","'x' cannot be coerced to class ""hexmode"""
"67","ErrorMessage1006","'list' object cannot be coerced to type 'integer'"
"68","ErrorMessage1019","invalid environment"
"69","ErrorMessage1036","argument must be an environment"
"70","ErrorMessage1044","argument is not a function"
"71","ErrorMessage1045","object 'x' of mode 'function' was not found"
"72","ErrorMessage1051","'list' object cannot be coerced to type 'logical'"
"73","ErrorMessage1053","only 0's may be mixed with negative subscripts"
"74","ErrorMessage1054","invalid subscript type 'list'"
"75","ErrorMessage1056","NaNs produced"
"76","ErrorMessage1057","non-numeric argument to mathematical function"
"77","ErrorMessage1128","argument ""what"" is missing, with no default"
"78","ErrorMessage1129","object 'pos' not found"
"79","ErrorMessage1166","could not find function ""as.hms"""
"80","ErrorMessage1179","invalid 'mode' argument"
"81","ErrorMessage1189","argument ""ns"" is missing, with no default"
"82","ErrorMessage1190","object 'ns' not found"
"83","ErrorMessage1191","there is no package called ‘ns’"
"84","ErrorMessage1192","not a namespace"
"85","ErrorMessage1193","unused arguments (alist(dims = , drop = ))"
"86","ErrorMessage1195","unused arguments (alist(dims = x, drop = ))"
"87","ErrorMessage1196","unused arguments (dims = x, drop = x)"
"88","ErrorMessage1197","unused arguments (dims = x, drop = ""x"")"
"89","ErrorMessage1198","unused arguments (dims = x, drop = df)"
"90","ErrorMessage1199","unused arguments (dims = ""x"", drop = df)"
"91","ErrorMessage1200","unused arguments (dims = df, drop = df)"
"92","ErrorMessage1203","unused argument (alist(class = ))"
"93","ErrorMessage1205","unused argument (class = ""class"")"
"94","ErrorMessage1206","unused argument (class = df)"
"95","ErrorMessage1212","argument ""value"" is missing, with no default"
"96","ErrorMessage1213","object 'value' not found"
"97","ErrorMessage1225","argument ""y"" is missing, with no default"
"98","ErrorMessage1226","object 'y' not found"
"99","ErrorMessage1301","'list' object cannot be coerced to type 'symbol'"
"100","ErrorMessage1306","invalid version specification ‘-1’, ‘-Inf’, ‘NaN’, ‘Inf’"
"101","ErrorMessage1307","invalid version specification ‘x’"
"102","ErrorMessage1310","'x' cannot be coerced to class ""octmode"""
"103","ErrorMessage1315","invalid version specification ‘-1’, ‘0’, ‘1’, ‘-Inf’, ‘NaN’, ‘Inf’"
"104","ErrorMessage1317","invalid version specification ‘1:10’, ‘11:20’"
"105","ErrorMessage1325","do not know how to convert 'df' to class “POSIXct”"
"106","ErrorMessage1327","non-numeric argument to binary operator"
"107","ErrorMessage1371","default method not implemented for type 'list'"
"108","ErrorMessage1385","do not know how to convert 'df' to class “POSIXlt”"
"109","ErrorMessage1394","do not know how to convert 'x' to class “POSIXlt”"
"110","ErrorMessage1400","do not know how to convert '""x""' to class “POSIXlt”"
"111","ErrorMessage1405","invalid 'tz' value"
"112","ErrorMessage1413","cannot coerce to a table"
"113","ErrorMessage1433","there is no package called ‘x’"
"114","ErrorMessage1440","dim(x) must have a positive length"
"115","ErrorMessage1442","unused argument (alist(drop = ))"
"116","ErrorMessage1443","unused argument (drop = x)"
"117","ErrorMessage1447","argument ""object"" is missing, with no default"
"118","ErrorMessage1451","invalid 'flag' argument"
"119","ErrorMessage1460","invalid first argument"
"120","ErrorMessage1471","invalid 'envir' argument"
"121","ErrorMessage1482","formal argument ""pos"" matched by multiple actual arguments"
"122","ErrorMessage1484","'attach' only works for lists, data frames and environments"
"123","ErrorMessage1493","unused argument (alist(package = ))"
"124","ErrorMessage1495","unused argument (package = x)"
"125","ErrorMessage1503","unused argument (package = df)"
"126","ErrorMessage1504","unused argument (package = ""df"")"
"127","ErrorMessage1507","argument 3 is empty"
"128","ErrorMessage1508","'which' must be of mode character"
"129","ErrorMessage1526","'name' must be non-null character string"
"130","ErrorMessage1535","attributes must be a list or NULL"
"131","ErrorMessage1536","argument ""name"" is missing, with no default"
"132","ErrorMessage1541","'length(x) = 20 > 1' in coercion to 'logical(1)'"
"133","ErrorMessage1547","object '-1' not found"
"134","ErrorMessage1550","object '1:10' not found"
"135","ErrorMessage1551","object 'df' not found"
"136","ErrorMessage1563","there is no package called ‘df’"
"137","ErrorMessage1669","0 arguments passed to 'attr<-' which requires 3"
"138","ErrorMessage1670","1 argument passed to 'attr<-' which requires 3"
"139","ErrorMessage1677","0 arguments passed to 'attributes<-' which requires 2"
"140","ErrorMessage1678","1 argument passed to 'attributes<-' which requires 2"
"141","ErrorMessage1697","argument ""r"" is missing, with no default"
"142","ErrorMessage1700","invalid 'k' argument"
"143","ErrorMessage1712","1 argument passed to 'baseenv' which requires 0"
"144","ErrorMessage1715","unused argument (alist(suffix = ))"
"145","ErrorMessage1716","argument ""path"" is missing, with no default"
"146","ErrorMessage1717","a character vector argument expected"
"147","ErrorMessage1720","unused argument (suffix = x)"
"148","ErrorMessage1721","unused argument (suffix = df)"
"149","ErrorMessage1722","unused argument (suffix = ""df"")"
"150","ErrorMessage1726","argument ""nu"" is missing, with no default"
"151","ErrorMessage1727","value out of range in 'bessel_i'"
"152","ErrorMessage1736","value out of range in 'bessel_j'"
"153","ErrorMessage1739","value out of range in 'bessel_k'"
"154","ErrorMessage1747","value out of range in 'bessel_y'"
"155","ErrorMessage1751","unused arguments (alist(x = , y = ))"
"156","ErrorMessage1752","argument ""b"" is missing, with no default"
"157","ErrorMessage1758","unused argument (x = x)"
"158","ErrorMessage1760","unused argument (x = df)"
"159","ErrorMessage1765","argument ""domain"" is missing, with no default"
"160","ErrorMessage1766","invalid 'domain' value"
"161","ErrorMessage1770","invalid 'dirname' value"
"162","ErrorMessage1772","unused arguments (alist(x = x, y = ))"
"163","ErrorMessage1773","unused arguments (x = x, y = x)"
"164","ErrorMessage1774","unused arguments (x = x, y = df)"
"165","ErrorMessage1775","unused arguments (x = df, y = df)"
"166","ErrorMessage1776","unused arguments (x = ""df"", y = df)"
"167","ErrorMessage1792","unused argument (x = ""df"")"
"168","ErrorMessage1803","unimplemented type 'list' in 'bitwXor'
"
"169","ErrorMessage1804","'a' and 'b' must have the same type"
"170","ErrorMessage1812","argument ""fun"" is missing, with no default"
"171","ErrorMessage1813","'fun' is not a function"
"172","ErrorMessage1816","no loop for break/next, jumping to top level"
"173","ErrorMessage1819","unused argument (expr = x)"
"174","ErrorMessage1820","unused argument (expr = ""x"")"
"175","ErrorMessage1821","unused argument (expr = df)"
"176","ErrorMessage1822","unused argument (alist(flag = ))"
"177","ErrorMessage1823","number of contexts must be positive"
"178","ErrorMessage1826","unused argument (alist(expr = ))"
"179","ErrorMessage1830","'...' used in an incorrect context"
"180","ErrorMessage1831","argument ""data"" is missing, with no default"
"181","ErrorMessage1832","argument ""INDICES"" is missing, with no default"
"182","ErrorMessage1833","argument ""FUN"" is missing, with no default"
"183","ErrorMessage1834","could not find function ""FUN"""
"184","ErrorMessage1838","arguments must have same length"
"185","ErrorMessage1844","numeric 'envir' arg not of length one"
"186","ErrorMessage1851","invalid 'envir' argument of type 'character'"
"187","ErrorMessage1863","unused argument (alist(close = ))"
"188","ErrorMessage1864","argument ""description"" is missing, with no default"
"189","ErrorMessage1865","invalid 'description' argument"
"190","ErrorMessage1873","invalid 'open' argument"
"191","ErrorMessage1876","attempt to set an attribute on NULL"
"192","ErrorMessage1883","object not specified"
"193","ErrorMessage1886","Calling 'structure(NULL, *)' is deprecated, as NULL cannot have attributes.
  Consider 'structure(list(), *)' instead."
"194","ErrorMessage1903","argument is missing, with no default"
"195","ErrorMessage1905","first argument must be a character string"
"196","ErrorMessage1908","could not find function ""fun"""
"197","ErrorMessage1915","'x' must be an array of at least two dimensions"
"198","ErrorMessage1918","invalid 'na.rm' argument"
"199","ErrorMessage1921","argument is not interpretable as logical"
"200","ErrorMessage1923","unused argument (alist(object = ))"
"201","ErrorMessage1929","unused argument (alist(imag = ))"
"202","ErrorMessage1931","unused argument (imag = x)"
"203","ErrorMessage1939","unused argument (imag = df)"
"204","ErrorMessage1942","unused argument (alist(condition = ))"
"205","ErrorMessage1943","no applicable method for 'conditionCall' applied to an object of class ""c('double', 'numeric')"""
"206","ErrorMessage1944","no applicable method for 'conditionCall' applied to an object of class ""character"""
"207","ErrorMessage1945","no applicable method for 'conditionCall' applied to an object of class ""data.frame"""
"208","ErrorMessage1947","$ operator is invalid for atomic vectors"
"209","ErrorMessage1950","no applicable method for 'conditionMessage' applied to an object of class ""name"""
"210","ErrorMessage1951","no applicable method for 'conditionMessage' applied to an object of class ""c('double', 'numeric')"""
"211","ErrorMessage1952","no applicable method for 'conditionMessage' applied to an object of class ""character"""
"212","ErrorMessage1953","no applicable method for 'conditionMessage' applied to an object of class ""data.frame"""
"213","ErrorMessage1955","argument ""c"" is missing, with no default"
"214","ErrorMessage1958","argument ""pkg"" is missing, with no default"
"215","ErrorMessage1966","unused arguments (alist(pkg = , mask.ok = , exclude = ))"
"216","ErrorMessage1967","unused arguments (alist(pkg = x, mask.ok = , exclude = ))"
"217","ErrorMessage1968","unused arguments (alist(pkg = x, mask.ok = x, exclude = ))"
"218","ErrorMessage1969","unused arguments (pkg = x, mask.ok = x, exclude = x)"
"219","ErrorMessage1970","unused arguments (pkg = x, mask.ok = x, exclude = df)"
"220","ErrorMessage1971","unused arguments (pkg = x, mask.ok = df, exclude = df)"
"221","ErrorMessage1972","unused arguments (pkg = x, mask.ok = ""df"", exclude = df)"
"222","ErrorMessage1973","unused arguments (pkg = df, mask.ok = ""df"", exclude = df)"
"223","ErrorMessage1975","'x' must be a date-time object"
"224","ErrorMessage1988","argument ""breaks"" is missing, with no default"
"225","ErrorMessage1989","lengths of 'breaks' and 'labels' differ"
"226","ErrorMessage2017","invalid 'x' type in 'x && y'"
"227","ErrorMessage2021","argument ""frame"" is missing, with no default"
"228","ErrorMessage2026","argument must be a function"
"229","ErrorMessage2029","is.null(condition) is not TRUE"
"230","ErrorMessage2035","unused argument (alist(fun = ))"
"231","ErrorMessage2036","Value for 'debuggingState' must be TRUE or FALSE"
"232","ErrorMessage2048","'default.stringsAsFactors' is deprecated.
Use '`stringsAsFactors = FALSE`' instead.
See help(""Deprecated"")"
"233","ErrorMessage2051","'lag' and 'differences' must be integers >= 1"
"234","ErrorMessage2075","argument ""time1"" is missing, with no default"
"235","ErrorMessage2091","1 argument passed to 'dim<-' which requires 2"
"236","ErrorMessage2097","1 argument passed to 'dimnames<-' which requires 2"
"237","ErrorMessage2100","could not find function "".data.frame"""
"238","ErrorMessage2104","invalid 'path' argument"
"239","ErrorMessage2120","invalid 'pattern' argument"
"240","ErrorMessage2131","argument ""paths"" is missing, with no default"
"241","ErrorMessage2132","invalid filename argument"
"242","ErrorMessage2137","argument ""args"" is missing, with no default"
"243","ErrorMessage2139","second argument must be a list"
"244","ErrorMessage2147","unused argument (alist(pkg = ))"
"245","ErrorMessage2148","invalid 'length' argument"
"246","ErrorMessage2152","'file' must be a character string or connection"
"247","ErrorMessage2153","deparse options ‘-1’, ‘0’, ‘1’, ‘-Inf’, ‘NaN’, ‘Inf’ are not recognized"
"248","ErrorMessage2154","deparse options ‘1:10’, ‘11:20’ are not recognized"
"249","ErrorMessage2160","no applicable method for 'droplevels' applied to an object of class ""name"""
"250","ErrorMessage2161","no applicable method for 'droplevels' applied to an object of class ""c('double', 'numeric')"""
"251","ErrorMessage2162","no applicable method for 'droplevels' applied to an object of class ""character"""
"252","ErrorMessage2172","argument ""list"" is missing, with no default"
"253","ErrorMessage2183","deparse option ‘df’ is not recognized"
"254","ErrorMessage2187","'fromLast' must be TRUE or FALSE"
"255","ErrorMessage2271","unused argument (alist(file = ))"
"256","ErrorMessage2273","unused argument (file = x)"
"257","ErrorMessage2274","unused argument (file = ""x"")"
"258","ErrorMessage2275","unused argument (file = df)"
"259","ErrorMessage2276","unused argument (alist(envir = ))"
"260","ErrorMessage2279","unused argument (envir = x)"
"261","ErrorMessage2285","unused argument (envir = df)"
"262","ErrorMessage2286","unused argument (envir = ""df"")"
"263","ErrorMessage2301","non-square matrix in 'eigen'"
"264","ErrorMessage2309","infinite or missing values in 'x'"
"265","ErrorMessage2311","1 argument passed to 'emptyenv' which requires 0"
"266","ErrorMessage2315","argument is not a character vector"
"267","ErrorMessage2320","unused arguments (alist(to = , sub = ))"
"268","ErrorMessage2321","invalid 'width' value"
"269","ErrorMessage2324","'arg' must be NULL or a character vector"
"270","ErrorMessage2338","unused argument (alist(ignore.case = ))"
"271","ErrorMessage2342","unused argument (ignore.case = x)"
"272","ErrorMessage2343","unused argument (ignore.case = df)"
"273","ErrorMessage2348","argument ""cl"" is missing, with no default"
"274","ErrorMessage2352","unused arguments (alist(all.names = , includeBase = , includeInternals = , includeEmpty = , includeFunctions = , includeSpecials = , includeObjects = , includeSearch = , includeGlobals = , includeBase = , includeInternals = , includeEmpty = , includeFunctions = , includeSpecials = , includeObjects = , includeSearch = , includeGlobals = ))"
"275","ErrorMessage2353","argument ""env"" is missing, with no default"
"276","ErrorMessage2354","unused arguments (alist(all.names = , includeBase = , includeInternals = , includeEmpty = , includeFunctions = , includeSpecials = , includeObjects = , includeSearch = , includeGlobals = ))"
"277","ErrorMessage2355","unused arguments (alist(all.names = x, includeBase = , includeInternals = , includeEmpty = , includeFunctions = , includeSpecials = , includeObjects = , includeSearch = , includeGlobals = ))"
"278","ErrorMessage2356","unused arguments (alist(all.names = x, includeBase = x, includeInternals = , includeEmpty = , includeFunctions = , includeSpecials = , includeObjects = , includeSearch = , includeGlobals = ))"
"279","ErrorMessage2357","unused arguments (alist(all.names = x, includeBase = x, includeInternals = x, includeEmpty = , includeFunctions = , includeSpecials = , includeObjects = , includeSearch = , includeGlobals = ))"
"280","ErrorMessage2358","unused arguments (alist(all.names = x, includeBase = x, includeInternals = x, includeEmpty = x, includeFunctions = , includeSpecials = , includeObjects = , includeSearch = , includeGlobals = ))"
"281","ErrorMessage2359","unused arguments (alist(all.names = x, includeBase = x, includeInternals = x, includeEmpty = x, includeFunctions = x, includeSpecials = , includeObjects = , includeSearch = , includeGlobals = ))"
"282","ErrorMessage2360","unused arguments (alist(all.names = x, includeBase = x, includeInternals = x, includeEmpty = x, includeFunctions = x, includeSpecials = x, includeObjects = , includeSearch = , includeGlobals = ))"
"283","ErrorMessage2361","unused arguments (alist(all.names = x, includeBase = x, includeInternals = x, includeEmpty = x, includeFunctions = x, includeSpecials = x, includeObjects = x, includeSearch = , includeGlobals = ))"
"284","ErrorMessage2362","unused arguments (alist(all.names = x, includeBase = x, includeInternals = x, includeEmpty = x, includeFunctions = x, includeSpecials = x, includeObjects = x, includeSearch = x, includeGlobals = ))"
"285","ErrorMessage2363","unused arguments (all.names = x, includeBase = x, includeInternals = x, includeEmpty = x, includeFunctions = x, includeSpecials = x, includeObjects = x, includeSearch = x, includeGlobals = x)"
"286","ErrorMessage2364","unused arguments (all.names = x, includeBase = x, includeInternals = x, includeEmpty = x, includeFunctions = x, includeSpecials = x, includeObjects = x, includeSearch = df, includeGlobals = x)"
"287","ErrorMessage2365","unused arguments (all.names = x, includeBase = x, includeInternals = x, includeEmpty = x, includeFunctions = x, includeSpecials = x, includeObjects = x, includeSearch = df, includeGlobals = df)"
"288","ErrorMessage2366","unused arguments (all.names = x, includeBase = x, includeInternals = x, includeEmpty = x, includeFunctions = x, includeSpecials = x, includeObjects = x, includeSearch = df, includeGlobals = ""df"")"
"289","ErrorMessage2367","unused arguments (all.names = x, includeBase = x, includeInternals = x, includeEmpty = x, includeFunctions = x, includeSpecials = x, includeObjects = x, includeSearch = ""df"", includeGlobals = ""df"")"
"290","ErrorMessage2368","unused arguments (all.names = x, includeBase = x, includeInternals = x, includeEmpty = x, includeFunctions = x, includeSpecials = x, includeObjects = x, includeSearch = ""df"", includeGlobals = df)"
"291","ErrorMessage2373","1 argument passed to 'environment<-' which requires 2"
"292","ErrorMessage2378","unused argument (fun = x)"
"293","ErrorMessage2379","not an environment"
"294","ErrorMessage2380","unused argument (fun = ""x"")"
"295","ErrorMessage2382","unused argument (fun = df)"
"296","ErrorMessage2388","argument ""message"" is missing, with no default"
"297","ErrorMessage2390","attempt to set invalid 'class' attribute"
"298","ErrorMessage2395","invalid 'enclos' argument of type 'double'"
"299","ErrorMessage2396","invalid 'enclos' argument of type 'list'"
"300","ErrorMessage2402","invalid 'n' value"
"301","ErrorMessage2433","unused argument (x)"
"302","ErrorMessage2434","unused argument (""x"")"
"303","ErrorMessage2435","unused argument (df)"
"304","ErrorMessage2436","could not find function ""F"""
"305","ErrorMessage2437","invalid 'labels'; length 6 should be 1 or 0"
"306","ErrorMessage2447","neither 'x' nor 'covmat' supplied"
"307","ErrorMessage2448","'x' must contain finite values only"
"308","ErrorMessage2451","'covmat' is of unknown type"
"309","ErrorMessage2470","unused argument (alist(path = ))"
"310","ErrorMessage2481","unused arguments (alist(compression = , close = ))"
"311","ErrorMessage2495","invalid 'blocking' argument"
"312","ErrorMessage2497","argument ""names"" is missing, with no default"
"313","ErrorMessage2498","unused argument (path = x)"
"314","ErrorMessage2501","unused argument (path = df)"
"315","ErrorMessage2502","unused argument (path = ""df"")"
"316","ErrorMessage2503","argument 1 matches multiple formal arguments"
"317","ErrorMessage2504","argument ""file1"" is missing, with no default"
"318","ErrorMessage2505","unused argument (alist(n = ))"
"319","ErrorMessage2507","unused argument (n = x)"
"320","ErrorMessage2508","unused argument (n = df)"
"321","ErrorMessage2512","file choice cancelled"
"322","ErrorMessage2516","argument ""from"" is missing, with no default"
"323","ErrorMessage2517","argument ""to"" is missing, with no default"
"324","ErrorMessage2518","invalid 'file' argument"
"325","ErrorMessage2529","more 'from' files than 'to' files"
"326","ErrorMessage2547","invalid first filename"
"327","ErrorMessage2550","invalid second filename"
"328","ErrorMessage2563","cannot remove file 'x', reason 'No such file or directory'"
"329","ErrorMessage2567","invalid 'from' argument"
"330","ErrorMessage2570","invalid 'to' argument"
"331","ErrorMessage2594","argument ""f"" is missing, with no default"
"332","ErrorMessage2598","argument ""df1"" is missing, with no default"
"333","ErrorMessage2614","there are no packages called ‘-1’, ‘0’, ‘1’, ‘-Inf’, ‘NaN’, ‘Inf’"
"334","ErrorMessage2622","invalid argument type"
"335","ErrorMessage2627","argument ""vec"" is missing, with no default"
"336","ErrorMessage2629","'vec' must be sorted non-decreasingly and not contain NAs"
"337","ErrorMessage2641","unused arguments (alist(pkg = , lib.loc = ))"
"338","ErrorMessage2642","argument ""info"" is missing, with no default"
"339","ErrorMessage2644","Attempting to load the environment ‘x’
"
"340","ErrorType2644","message"
"341","ErrorMessage2646","unused argument (alist(where = ))"
"342","ErrorMessage2650","unused argument (where = x)"
"343","ErrorMessage2652","unused argument (where = df)"
"344","ErrorMessage2659","no applicable method for 'flush' applied to an object of class ""name"""
"345","ErrorMessage2660","no applicable method for 'flush' applied to an object of class ""c('double', 'numeric')"""
"346","ErrorMessage2661","no applicable method for 'flush' applied to an object of class ""character"""
"347","ErrorMessage2662","no applicable method for 'flush' applied to an object of class ""data.frame"""
"348","ErrorMessage2663","argument ""con"" is missing, with no default"
"349","ErrorMessage2664","'con' is not a connection"
"350","ErrorMessage2667","<text>:2:0: unexpected end of input
1: for(i in 1:10){
   ^"
"351","ErrorMessage2668","object 'i' not found"
"352","ErrorMessage2669","<text>:1:1: unexpected '}'
1: }
    ^"
"353","ErrorMessage2673","argument """" is missing, with no default"
"354","ErrorMessage2674","could not find function ""x"""
"355","ErrorMessage2695","dims [product 20] do not match the length of object [2]"
"356","ErrorMessage2698","corrupt data frame: columns will be truncated or padded with NAs"
"357","ErrorMessage2707","invalid value -1 for 'digits' argument"
"358","ErrorMessage2726","'arg' should be one of “left”, “right”, “centre”, “none”"
"359","ErrorMessage2734","no applicable method for 'units' applied to an object of class ""c('double', 'numeric')"""
"360","ErrorMessage2735","no applicable method for 'units' applied to an object of class ""character"""
"361","ErrorMessage2736","no applicable method for 'units' applied to an object of class ""data.frame"""
"362","ErrorMessage2751","invalid 'digits' argument"
"363","ErrorMessage2768","invalid format '%01:10o'; use format %d, %i, %o, %x or %X for integer objects"
"364","ErrorMessage2797","argument ""pv"" is missing, with no default"
"365","ErrorMessage2799","longer object length is not a multiple of shorter object length"
"366","ErrorMessage2803","invalid value -2147483648 for 'digits' argument"
"367","ErrorMessage2814","argument ""step"" is missing, with no default"
"368","ErrorMessage2829","unused argument (alist(exact = ))"
"369","ErrorMessage2847","could not find function ""getAllConnections.character"""
"370","ErrorMessage2853","argument ""e"" is missing, with no default"
"371","ErrorMessage2856","unused argument (alist(con = ))"
"372","ErrorMessage2858","unused argument (con = x)"
"373","ErrorMessage2859","there is no connection -1"
"374","ErrorMessage2862","unused argument (con = df)"
"375","ErrorMessage2863","unused argument (con = ""df"")"
"376","ErrorMessage2864","unused arguments (alist(DLLInfo = , name = , type = , allNames = ))"
"377","ErrorMessage2865","no applicable method for 'getDLLRegisteredRoutines' applied to an object of class ""name"""
"378","ErrorMessage2866","no applicable method for 'getDLLRegisteredRoutines' applied to an object of class ""c('double', 'numeric')"""
"379","ErrorMessage2869","no applicable method for 'getDLLRegisteredRoutines' applied to an object of class ""data.frame"""
"380","ErrorMessage2870","No DLL currently loaded with name or path ‘df’"
"381","ErrorMessage2872","argument ""dll"" is missing, with no default"
"382","ErrorMessage2880","must specify DLL via a “DLLInfo” object. See getLoadedDLLs()"
"383","ErrorMessage2885","unused arguments (alist(x = , exact = ))"
"384","ErrorMessage2888","attempt to select more than one element in vectorIndex"
"385","ErrorMessage2894","unused argument (""df"")"
"386","ErrorMessage2897","unused argument (pkg = x)"
"387","ErrorMessage2900","bad namespace name"
"388","ErrorMessage2903","unused argument (pkg = df)"
"389","ErrorMessage2905","unused argument (pkg = ""df"")"
"390","ErrorMessage2907","unused argument (alist(which = ))"
"391","ErrorMessage2908","argument ""hookName"" is missing, with no default"
"392","ErrorMessage2909","unused argument (which = x)"
"393","ErrorMessage2911","unused argument (which = df)"
"394","ErrorMessage2912","unused argument (which = ""df"")"
"395","ErrorMessage2917","unused argument (alist(which.lib.loc = ))"
"396","ErrorMessage2919","there is no package called ‘-1’"
"397","ErrorMessage2922","unused argument (alist(all.names = ))"
"398","ErrorMessage2932","unused argument (alist(what = ))"
"399","ErrorMessage2951","unused arguments (alist(sym = d, where = ))"
"400","ErrorMessage2952","unused arguments (alist(sym = , where = r))"
"401","ErrorMessage2953","unused arguments (alist(sym = , where = ))"
"402","ErrorMessage2959","unused arguments (alist(complete = , help = , recursive = , no.deparse = , no.defaults = , no.warn = , keep.source = , skip.silent = , width = ))"
"403","ErrorMessage2961","'x' must be a character string"
"404","ErrorMessage2968","unused arguments (alist(con = , offset = , n = ))"
"405","ErrorMessage2969","argument ""first"" is missing, with no default"
"406","ErrorMessage2970","unused arguments (alist(con = x, offset = , n = ))"
"407","ErrorMessage2972","unused arguments (alist(con = x, offset = x, n = ))"
"408","ErrorMessage2973","argument ""last"" is missing, with no default"
"409","ErrorMessage2974","unused arguments (con = x, offset = x, n = x)"
"410","ErrorMessage2989","argument ""fmt"" is missing, with no default"
"411","ErrorMessage2990","object 'g' not found"
"412","ErrorMessage2991","unrecognised format specification '%$'"
"413","ErrorMessage2992","object 'false' not found"
"414","ErrorMessage2994","unused argument (e)"
"415","ErrorMessage2998","argument ""k"" is missing, with no default"
"416","ErrorMessage2999","argument ""n"" is missing, with no default"
"417","ErrorMessage3000","object 'test' not found"
"418","ErrorMessage3001","object 'TEST' not found"
"419","ErrorMessage3003","condition handlers must be specified with a condition class"
"420","ErrorMessage3005","condition handlers must be functions"
"421","ErrorMessage3009","1 argument passed to 'globalenv' which requires 0"
"422","ErrorMessage3012","argument ""text"" is missing, with no default"
"423","ErrorMessage3020","argument 'pattern' has length > 1 and only the first element will be used"
"424","ErrorMessage3023","argument 'ignore.case = TRUE' will be ignored"
"425","ErrorMessage3030","argument ""pattern"" is missing, with no default"
