"","rowname","error"
"61","ErrorMessage206","could not find function ""objective"""
"62","ErrorMessage210","'control' argument must be a named list"
"63","ErrorMessage213","'list' object cannot be coerced to type 'double'"
"64","ErrorMessage214","NAs introduced by coercion"
"65","ErrorMessage229","'arg' must be NULL or a character vector"
"66","ErrorMessage232","length(tol) == 1L is not TRUE"
"67","ErrorMessage241","no applicable method for 'NLSstAsymptotic' applied to an object of class ""name"""
"68","ErrorMessage242","no applicable method for 'NLSstAsymptotic' applied to an object of class ""c('double', 'numeric')"""
"69","ErrorMessage243","no applicable method for 'NLSstAsymptotic' applied to an object of class ""data.frame"""
"70","ErrorMessage244","no applicable method for 'NLSstAsymptotic' applied to an object of class ""character"""
"71","ErrorMessage245","no applicable method for 'NLSstClosestX' applied to an object of class ""name"""
"72","ErrorMessage247","no applicable method for 'NLSstClosestX' applied to an object of class ""c('double', 'numeric')"""
"73","ErrorMessage249","no applicable method for 'NLSstClosestX' applied to an object of class ""data.frame"""
"74","ErrorMessage250","no applicable method for 'NLSstClosestX' applied to an object of class ""character"""
"75","ErrorMessage252","no applicable method for 'NLSstLfAsymptote' applied to an object of class ""name"""
"76","ErrorMessage253","no applicable method for 'NLSstLfAsymptote' applied to an object of class ""c('double', 'numeric')"""
"77","ErrorMessage254","no applicable method for 'NLSstLfAsymptote' applied to an object of class ""data.frame"""
"78","ErrorMessage255","no applicable method for 'NLSstLfAsymptote' applied to an object of class ""character"""
"79","ErrorMessage257","no applicable method for 'NLSstRtAsymptote' applied to an object of class ""name"""
"80","ErrorMessage258","no applicable method for 'NLSstRtAsymptote' applied to an object of class ""c('double', 'numeric')"""
"81","ErrorMessage259","no applicable method for 'NLSstRtAsymptote' applied to an object of class ""data.frame"""
"82","ErrorMessage260","no applicable method for 'NLSstRtAsymptote' applied to an object of class ""character"""
"83","ErrorMessage263","no 'nobs' method is available"
"84","ErrorMessage267","argument ""theta"" is missing, with no default"
"85","ErrorMessage269","'theta' should be of type character"
"86","ErrorMessage272","is.finite(eps) are not all TRUE"
"87","ErrorMessage278","argument ""par"" is missing, with no default"
"88","ErrorMessage280","'formula' missing or incorrect"
"89","ErrorMessage290","non-finite value supplied by optim"
"90","ErrorMessage302","argument ""fn"" is missing, with no default"
"91","ErrorMessage303","could not find function ""fn"""
"92","ErrorMessage309","argument ""interval"" is missing, with no default"
"93","ErrorMessage311","invalid 'xmin' value"
"94","ErrorMessage312","invalid 'xmax' value"
"95","ErrorMessage313","'xmin' not less than 'xmax'"
"96","ErrorMessage330","'order.dendrogram' requires a dendrogram"
"97","ErrorMessage339","could not find function ""p.adjust.methods"""
"98","ErrorMessage349","'x' must be numeric"
"99","ErrorMessage355","arguments imply differing number of rows: 6, 10"
"100","ErrorMessage358","elements of 'n' must be positive"
"101","ErrorMessage362","argument ""g"" is missing, with no default"
"102","ErrorMessage371","unused arguments (alist(x = , g = ))"
"103","ErrorMessage372","argument ""level.names"" is missing, with no default"
"104","ErrorMessage374","could not find function ""compare.levels"""
"105","ErrorMessage381","not enough (non-missing) 'x' observations"
"106","ErrorMessage386","unused argument (alist(x = ))"
"107","ErrorMessage387","argument ""q"" is missing, with no default"
"108","ErrorMessage388","argument ""shape1"" is missing, with no default"
"109","ErrorMessage389","argument ""shape2"" is missing, with no default"
"110","ErrorMessage390","NaNs produced"
"111","ErrorMessage391","Non-numeric argument to mathematical function"
"112","ErrorMessage395","argument ""size"" is missing, with no default"
"113","ErrorMessage396","argument ""prob"" is missing, with no default"
"114","ErrorMessage402","unused arguments (alist(x = , lower.tail = , log.p = ))"
"115","ErrorMessage419","argument ""df"" is missing, with no default"
"116","ErrorMessage434","argument ""df1"" is missing, with no default"
"117","ErrorMessage435","argument ""df2"" is missing, with no default"
"118","ErrorMessage444","argument ""shape"" is missing, with no default"
"119","ErrorMessage462","argument ""m"" is missing, with no default"
"120","ErrorMessage464","argument ""k"" is missing, with no default"
"121","ErrorMessage471","'plclust' is defunct.
Use 'plot' instead.
See help(""Defunct"")"
"122","ErrorMessage507","need finite 'xlim' values"
"123","ErrorMessage512","'plot.stepfun' called with wrong type of argument 'x'"
"124","ErrorMessage538","invalid value specified for graphical parameter ""mfrow"""
"125","ErrorMessage544","invalid 'xlim' value"
"126","ErrorMessage574","'prob' and 'mu' both specified"
"127","ErrorMessage588","link ""x"" not available for poisson family; available links are ‘log’, ‘identity’, ‘sqrt’"
"128","ErrorMessage589","link ""df"" not available for poisson family; available links are ‘log’, ‘identity’, ‘sqrt’"
"129","ErrorMessage590","‘x’ link not recognised"
"130","ErrorMessage593","'x' must be finite, nonnegative, and integer"
"131","ErrorMessage598","'x' and 'T' have incompatible length"
"132","ErrorMessage602","missing values are not allowed in 'poly'"
"133","ErrorMessage610","must supply one or more vectors"
"134","ErrorMessage614","numerical expression has 2 elements: only the first used"
"135","ErrorMessage618","invalid argument 'lambda'"
"136","ErrorMessage621","exactly one of 'groups', 'n', 'between.var', 'within.var', 'power', and 'sig.level' must be NULL"
"137","ErrorMessage627","'length(x) = 20 > 1' in coercion to 'logical(1)'"
"138","ErrorMessage630","exactly one of 'n', 'p1', 'p2', 'power', and 'sig.level' must be NULL"
"139","ErrorMessage634","'sig.level' must be numeric in [0, 1]"
"140","ErrorMessage641","exactly one of 'n', 'delta', 'sd', 'power', and 'sig.level' must be NULL"
"141","ErrorMessage654","NA/NaN/Inf in 'y'"
"142","ErrorMessage656","x is not a vector or univariate time series"
"143","ErrorMessage657","wrong embedding dimension"
"144","ErrorMessage663","argument ""lambda"" is missing, with no default"
"145","ErrorMessage670","'nterms' is missing with no default"
"146","ErrorMessage676","infinite or missing values in 'x'"
"147","ErrorMessage679","no applicable method for 'predict' applied to an object of class ""name"""
"148","ErrorMessage680","no applicable method for 'predict' applied to an object of class ""c('double', 'numeric')"""
"149","ErrorMessage681","no applicable method for 'predict' applied to an object of class ""character"""
"150","ErrorMessage682","no applicable method for 'predict' applied to an object of class ""data.frame"""
"151","ErrorMessage716","no applicable method for 'preplot' applied to an object of class ""name"""
"152","ErrorMessage717","no applicable method for 'preplot' applied to an object of class ""c('double', 'numeric')"""
"153","ErrorMessage718","no applicable method for 'preplot' applied to an object of class ""character"""
"154","ErrorMessage719","no applicable method for 'preplot' applied to an object of class ""data.frame"""
"155","ErrorMessage722","'x' must contain finite values only"
"156","ErrorMessage724","In princomp.default(x = , cor = , scores = , subset = , na.action = ) :
 extra argument ‘na.action’ will be disregarded"
"157","ErrorMessage727","'x' must be coefficient matrix/data frame"
"158","ErrorMessage730","no applicable method for 'profile' applied to an object of class ""name"""
"159","ErrorMessage731","no applicable method for 'profile' applied to an object of class ""c('double', 'numeric')"""
"160","ErrorMessage732","no applicable method for 'profile' applied to an object of class ""character"""
"161","ErrorMessage733","no applicable method for 'profile' applied to an object of class ""data.frame"""
"162","ErrorMessage738","argument does not include a 'qr' component"
"163","ErrorMessage741","unused argument (alist(normalize = ))"
"164","ErrorMessage743","unused argument (normalize = x)"
"165","ErrorMessage744","unused arguments (alist(normalize = x, eps = ))"
"166","ErrorMessage745","unused arguments (normalize = x, eps = x)"
"167","ErrorMessage746","unused arguments (alist(normalize = x, eps = x, control = ))"
"168","ErrorMessage747","unused arguments (normalize = x, eps = x, control = x)"
"169","ErrorMessage748","unused arguments (alist(normalize = x, eps = x, control = x, trace = ))"
"170","ErrorMessage749","unused arguments (normalize = x, eps = x, control = x, trace = x)"
"171","ErrorMessage750","unused arguments (alist(normalize = x, eps = x, control = x, trace = x, orthogonal = ))"
"172","ErrorMessage751","unused arguments (normalize = x, eps = x, control = x, trace = x, orthogonal = x)"
"173","ErrorMessage752","unused arguments (alist(normalize = x, eps = x, control = x, trace = x, orthogonal = x, rotate = ))"
"174","ErrorMessage753","unused arguments (normalize = x, eps = x, control = x, trace = x, orthogonal = x, rotate = x)"
"175","ErrorMessage754","unused arguments (alist(normalize = x, eps = x, control = x, trace = x, orthogonal = x, rotate = x, oblique.scores = ))"
"176","ErrorMessage755","unused arguments (normalize = x, eps = x, control = x, trace = x, orthogonal = x, rotate = x, oblique.scores = x)"
"177","ErrorMessage756","unused arguments (alist(normalize = x, eps = x, control = x, trace = x, orthogonal = x, rotate = x, oblique.scores = x, oblique.scores = ))"
"178","ErrorMessage757","unused arguments (normalize = x, eps = x, control = x, trace = x, orthogonal = x, rotate = x, oblique.scores = x, oblique.scores = x)"
"179","ErrorMessage758","unused arguments (alist(normalize = x, eps = x, control = x, trace = x, orthogonal = x, rotate = x, oblique.scores = x, oblique.scores = x, oblique.scores = ))"
"180","ErrorMessage759","unused arguments (normalize = x, eps = x, control = x, trace = x, orthogonal = x, rotate = x, oblique.scores = x, oblique.scores = x, oblique.scores = x)"
"181","ErrorMessage770","'x' and 'n' must have the same length"
"182","ErrorMessage772","unused argument (alist(p.adjust.method = ))"
